case_id,slug,has_estimate_and_ci_schema,numeric_estimate_ci_rows,conservative_complete_rows_from_case_review,structural_eligibility,common_estimand_candidate,independent_study_count_status,recommended_role,final_gate_status,currently_eligible_for_meta_analysis,blocking_issue_count,reasoning
11,class_size_achievement,true,0,0,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,5,"Case 11 has 253 archived report records. Reading the archived extraction columns conservatively yields 33 non-null effect_size entries, zero ci_lower entries, one ci_upper entry, and therefore zero complete effect rows (effect estimate plus both confidence bounds). The configuration defines the numeric fields but sets the case common estimand and independent-study count to null/not assessed. The extraction does not capture effect measure, outcome definition, timing, or a study identifier/linkage variable. Consequently, the heterogeneous numeric entries cannot be harmonized defensibly, and independent-study thresholds (at least five for synthesis and ten for primary propagation) cannot be evaluated. Title-normalization also reveals apparent duplicate/multiple reports (including two versions of the Kenyan pupil-teacher-ratio study), while no archived dependence handling is documented. This conclusion relies on raw archived field presence and report metadata, not LLM values or evaluator verdicts; the case is structurally ineligible regardless of the presently unavailable human verification."
12,llm_higher_education,false,0,0,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,6,"Case 12 is structurally ineligible irrespective of later human verification. The immutable archive contains record-level descriptors (study_design, country, llm_tool, use_case, discipline, sample_size, and outcome_direction) plus bibliographic metadata and evaluator labels, but lacks the numerical effect, effect-measure, and precision fields required to construct even one poolable estimate. Although sample_size and outcome_direction are often non-null, outcome_direction is an unstandardized qualitative label and sample size alone supplies neither an estimand nor uncertainty. The archive also lacks study-report linkage and outcome/time-point selection information, preventing an independent-study count or defensible dependence treatment. Thus no common estimand candidate or complete effect row can be established conservatively from archived columns; evaluator verdicts and LLM values were not accepted as truth."
13,marine_protected_areas,true,7,6,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,6,"Case 13 defines categorical context fields (study_design, country, mpa_type, species_group), years_protected, and the four declared potentially synthesis-critical numeric fields, but lacks an outcome, comparator, effect-measure, unit, variance/SE, and study-identity field. Counting conservatively from archived columns, 6 rows have non-null numeric sample_size, effect_size, ci_lower, and ci_upper; a seventh has effect_size and both bounds but no sample_size. The six complete rows include two clear duplicate-report pairs, yielding no more than four distinct reports even before excluding secondary meta-analytic reports or resolving study-level dependence. The observed numerical ranges are not coherently interpretable as one scale, and the archive does not contain the information needed to convert them. Therefore no defensible common estimand or sufficient independent-study set exists in the archived structure, irrespective of the still-required human verification; the case is structurally ineligible."
14,reforestation_carbon,false,0,25,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,6,"Case 14 is structurally ineligible for synthesis from the archived extraction. Although carbon_stock_tC_ha nominally specifies tC/ha and 25 rows contain all three declared numeric critical fields, the archive does not define what effect_size represents or provide its uncertainty, and it cannot distinguish incompatible carbon pools, stock versus flux/change outcomes, comparators, or relevant times. Thus no prespecified common estimand or defensible conversion is supported by the archived fields. Report-level metadata also cannot establish independent studies or dependence handling. Human verification remains necessary but cannot by itself resolve the absent effect-measure, precision, outcome-definition, and linkage structure in the archived synthesis dataset."
15,indoor_air_pollution_health,true,485,391,possible_candidate,"A narrowly restricted, human-verified association between household biomass/solid-fuel use (versus a defined clean-fuel reference) and acute lower respiratory infection/pneumonia in children under five, analyzed as one prespecified adjusted odds-ratio estimand on the log scale (or only after a defensible verified conversion).",not_identifiable,sensitivity_candidate_after_verification,pending_human_verification,false,6,"The archived schema supplies basic topic descriptors and numerical estimates, and it contains a potentially sizeable subset of reports labelled with child acute respiratory infection, ALRI, or pneumonia. Thus a restricted estimand may be defensible after source review, rather than pooling the broad indoor-air-pollution/health corpus. However, effect-measure and comparator metadata are absent, 391 is only a conservative complete numeric-row count, and report-to-study linkage is unavailable despite clear multiple-report signals. Consequently neither the >=5 independent-study synthesis threshold nor the >=10 independent-study primary-propagation threshold can be demonstrated from this archive. The case is therefore only a possible sensitivity candidate pending human verification, eligibility screening, harmonization, and documented dependence handling; it is not structurally ineligible regardless."
16,microplastics_freshwater,false,0,54,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,5,"Case 16 is structurally ineligible for quantitative synthesis from the archived columns, independently of the absent human verification. The 54 conservatively complete raw rows are numerically populated for concentration_items_L and sample_size, but do not constitute comparable effect estimates: their titles and water_body_type values indicate heterogeneous environmental matrices and endpoints, and the extract lacks the metadata needed to restrict or harmonize them. Concentrations span 0.00112 to 191,000,000, further underscoring unresolved scale/unit and measurement-context heterogeneity rather than providing evidence of a shared estimand. With no effect uncertainty and no way to establish independent underlying studies or resolve the observed duplicate report, neither the at-least-five-study synthesis threshold nor the at-least-ten-study primary propagation threshold can be assessed or defensibly met. The case may be described narratively after source review, but it should not enter a meta-analysis on these archived data."
17,llm_reasoning_benchmarks,false,0,50,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,6,"Case 17 is a purposively selected Computer Science and AI case whose archived schema defines study_design, model_name, benchmark, and task_type as categorical fields and accuracy_percent as the only potentially synthesis-critical numeric field; parameter_count_B and year are other numeric fields. I treated neither the LLM extraction nor the judge/evaluator columns as ground truth. From the parse-valid 200-row archived CSV, 59 rows contain a numeric accuracy_percent (all within 0–100), but only 50 conservatively complete rows also contain nonblank model_name, benchmark, and task_type; this is the reported complete-effect-row count. These 50 rows have 50 distinct nonblank titles and 49 distinct nonblank DOIs, but uniqueness of report identifiers does not identify independent underlying studies. Repeated and aggregate/multi-model model labels, together with absent study/report linkage and no dependence plan, preclude establishing the required independent-study count. The 59 accuracy-bearing rows span 59 distinct benchmark labels, confirming that the extract does not contain replicated estimates on a shared named benchmark; it does not overcome heterogeneity in benchmark content or establish a common target population. Raw percent accuracy across different reasoning benchmarks/tasks is not a defensible common estimand or comparative effect without denominators, scoring definitions, model configuration, and a prespecified comparator/conversion. Therefore the frozen gate is structurally failed irrespective of the currently unavailable human verification; the five- and ten-independent-study thresholds cannot be assessed, and a primary propagation analysis is not supportable."
18,federated_learning_privacy,false,0,0,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,5,"This is structurally ineligible on the frozen archived data, independently of the unavailable human verification. Non-null archived values were counted only as populated archive cells, not accepted as valid LLM extraction or evaluator truth: n_clients=13, accuracy_percent=44, and privacy_budget_epsilon=7 (excluding literal null strings). Those fields describe context or isolated performance percentages rather than harmonized effects. The records span materially different application domains, datasets, model/task settings, privacy mechanisms, and aggregation approaches, and the schema records neither a common outcome definition nor a comparator/uncertainty basis with which to derive a compatible effect. No exact duplicate title or DOI appears, but the absence of report-to-study linkage means independence and multiple-report dependence remain unidentifiable rather than resolved."
19,ai_ethics_autonomous_systems,false,0,0,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,5,"Case 19 is structurally ineligible regardless of the absent human verification. Configured extraction defines five categorical descriptive fields (study_design, ethical_framework, application_domain, methodology, key_principle) and one potentially synthesis-critical numeric field (sample_size). In the archived CSV, sample_size is non-null in 20/200 records, but no archived columns encode an outcome, effect measure or estimate, comparator, confidence interval, variance/SE, unit/scale, or time point. Thus the conservative complete-effect-row count is 0, the five- and ten-independent-study thresholds cannot be evaluated, and neither a synthesis nor primary propagation analysis can be constructed. Although report-level identifiers appear largely unique, the protocol defines a study only after report linkage; no such linkage or dependence-handling information is present. The protocol consequently precludes pooling incompatible material or proceeding before common-estimand and independence checks."
20,deep_learning_predictive_maintenance,false,0,0,unlikely_candidate,,not_identifiable,exclude_from_synthesis,structurally_ineligible,false,6,"Case 20 is structurally ineligible regardless of the pending human verification requirement. Conservative counting yields zero complete effect rows because the archived columns provide neither a defined common effect measure nor its uncertainty (or sufficient counts for reconstruction). Although 65 records contain an archived accuracy value and four contain both accuracy and F1, these are unverified descriptive performance values with incompatible scales and heterogeneous prediction tasks; they cannot be pooled merely because they share columns. The archive also lacks the information needed to identify at least five independent studies or handle multiple reports, outcomes, models, validation splits, and timepoints. Human verification would be necessary for any future re-extraction, but cannot cure the current schema's absence of a defensible common estimand and analyzable effect data."
