case_id,field_type,null_status,verdict,count
17,numeric,nonnull,UNVERIFIABLE,0
18,categorical,null,CORRECT,0
18,categorical,null,INCORRECT,0
18,categorical,null,UNVERIFIABLE,213
18,categorical,nonnull,CORRECT,579
18,categorical,nonnull,INCORRECT,3
18,categorical,nonnull,UNVERIFIABLE,5
18,numeric,null,CORRECT,1
18,numeric,null,INCORRECT,0
18,numeric,null,UNVERIFIABLE,533
18,numeric,nonnull,CORRECT,60
18,numeric,nonnull,INCORRECT,4
18,numeric,nonnull,UNVERIFIABLE,2
19,categorical,null,CORRECT,0
19,categorical,null,INCORRECT,0
19,categorical,null,UNVERIFIABLE,183
19,categorical,nonnull,CORRECT,810
19,categorical,nonnull,INCORRECT,5
19,categorical,nonnull,UNVERIFIABLE,2
19,numeric,null,CORRECT,0
19,numeric,null,INCORRECT,0
19,numeric,null,UNVERIFIABLE,180
19,numeric,nonnull,CORRECT,20
19,numeric,nonnull,INCORRECT,0
19,numeric,nonnull,UNVERIFIABLE,0
20,categorical,null,CORRECT,0
20,categorical,null,INCORRECT,0
20,categorical,null,UNVERIFIABLE,91
20,categorical,nonnull,CORRECT,704
20,categorical,nonnull,INCORRECT,1
20,categorical,nonnull,UNVERIFIABLE,4
20,numeric,null,CORRECT,0
20,numeric,null,INCORRECT,0
20,numeric,null,UNVERIFIABLE,501
20,numeric,nonnull,CORRECT,90
20,numeric,nonnull,INCORRECT,6
20,numeric,nonnull,UNVERIFIABLE,3
